text,label,app_name,store_source,rating,review_date,label_source
Sending transaction failure always,payment_failure,GCash,Google Play (Kaggle public dataset),1,2014-08-16T00:56:02.000Z,strict_rule_relabel
cash in using mobile load is still not working.. more than a month of fixing it or u'll be removing this feature? we'll not be using this if thats the case,transfer_issue,GCash,Google Play (Kaggle public dataset),1,2015-08-16T23:15:37.000Z,strict_rule_relabel
Would be nice if globe would allow us to convert prepaid load into gcash,feature_request,GCash,Google Play (Kaggle public dataset),1,2012-08-19T02:11:41.000Z,strict_rule_relabel
"I was charged twice for a transaction. I didn't know that the ""next"" button meant to be charged again? I thought next would be for next transaction.",payment_failure,GCash,Google Play (Kaggle public dataset),1,2014-12-06T04:58:47.000Z,strict_rule_relabel
cannot buy send load and cash in buttons missing pls fix this thanks,transfer_issue,GCash,Google Play (Kaggle public dataset),2,2016-02-02T06:06:41.000Z,strict_rule_relabel
"Saw the message. Keep the updates up, Globe. Though those app permissions, that might be for security reasons are making me paranoid haha.",security_concern,GCash,Google Play (Kaggle public dataset),4,2015-10-25T01:06:07.000Z,strict_rule_relabel
I know this is an error since yesterday. I would just like to know if when will be fix? I have pending Ioad here in my sim to be cash in anytime and Im worried about my Ioad because load do expire. Please fix this ASAP!,transfer_issue,GCash,Google Play (Kaggle public dataset),1,2016-04-19T08:31:01.000Z,strict_rule_relabel
"After installing the update, it's not letting me login. I get an error that says they can't authenticate me.",account_access_issue,GCash,Google Play (Kaggle public dataset),1,2014-04-11T09:57:26.000Z,strict_rule_relabel
I cant convert my prepaid load to gcash..it sucks!!! On the blog it says everything but in actual..its failure. I want to do cash in but on BPI is available!!,transfer_issue,GCash,Google Play (Kaggle public dataset),1,2016-04-25T16:53:38.000Z,strict_rule_relabel
i cannot log in!!!,account_access_issue,GCash,Google Play (Kaggle public dataset),1,2014-05-05T06:15:25.000Z,strict_rule_relabel
Cash in not working,transfer_issue,GCash,Google Play (Kaggle public dataset),1,2016-04-29T11:05:24.000Z,strict_rule_relabel
"I always have to call their hotline to fix the tech issue i usually encounter and it takes a couple of months before they can fix it. They don't have other options to convert prepaid load to gcash in sim self-service option. I like gcash because it's more convenient than the other payment methods but I found it more inconvenient when im unable to do transactions due to error on their end. Believe me, it takes forever to get everything sorted out.",transfer_issue,GCash,Google Play (Kaggle public dataset),1,2016-06-15T02:05:18.000Z,strict_rule_relabel
"I cannot log in! After entering MPIN it always say, ""Sorry, we were unable to send a message. Please call the GCASH Hotline at 2882 for assistance."" And when I called your hotline, they dont even know how to solve my problem. Please fix this.",account_access_issue,GCash,Google Play (Kaggle public dataset),1,2014-06-03T08:10:52.000Z,strict_rule_relabel
Cash in error,transfer_issue,GCash,Google Play (Kaggle public dataset),2,2016-05-06T16:45:40.000Z,strict_rule_relabel
Please add feature to buy supporter on osu!,feature_request,GCash,Google Play (Kaggle public dataset),5,2014-10-06T14:53:34.000Z,strict_rule_relabel
Cash In Error! Until when Globe?,transfer_issue,GCash,Google Play (Kaggle public dataset),1,2016-05-19T11:42:00.000Z,strict_rule_relabel
Extended maintenance most of the time. Filed a fraud claim 3 months ago and still did not get a response. Crappy service,security_concern,GCash,Google Play (Kaggle public dataset),1,2017-09-10T07:33:06.000Z,strict_rule_relabel
